Wall time,Step,Value
1758081390.945773,0,-0.39039042592048645
1758081396.9339685,1,-0.3201252520084381
1758081402.7948182,2,-0.3029305338859558
1758081408.7794428,3,-0.3171755075454712
1758081414.649508,4,-0.30384740233421326
1758081420.5212529,5,-0.28373467922210693
1758081426.5211086,6,-0.2774803042411804
1758081432.46108,7,-0.2631153464317322
1758081438.42294,8,-0.25100332498550415
1758081444.3827639,9,-0.24908190965652466
1758081450.3322814,10,-0.23855119943618774
1758081456.3436577,11,-0.2324536144733429
1758081462.2841167,12,-0.22970712184906006
1758081468.2771912,13,-0.22781679034233093
1758081474.2788818,14,-0.2212231606245041
1758081480.3776693,15,-0.21151237189769745
1758081486.4599211,16,-0.2105472981929779
1758081492.496955,17,-0.20493438839912415
1758081498.495621,18,-0.18453006446361542
1758081504.5127637,19,-0.18516534566879272
1758081510.4833848,20,-0.18478389084339142
1758081516.497798,21,-0.15379054844379425
1758081522.4674506,22,-0.13924826681613922
1758081528.4618375,23,-0.11981049925088882
1758081540.5400543,25,-0.052765991538763046
1758081546.6032171,26,-0.039177779108285904
1758081552.5430646,27,0.011382435448467731
1758081558.5118775,28,0.03546425327658653
1758081564.471273,29,0.06793887913227081
1758081570.467792,30,0.10142586380243301
1758081576.4928474,31,0.14738565683364868
1758081582.5192902,32,0.19915057718753815
1758081588.5882902,33,0.21721355617046356
1758081594.6497602,34,0.32499614357948303
1758081600.7047648,35,0.4318649172782898
1758081606.8055966,36,0.4392535388469696
1758081612.9267373,37,0.6023690700531006
1758081619.0659542,38,0.6604446768760681
1758081625.225179,39,0.6971306800842285
1758081631.391883,40,0.7622789740562439
1758081637.5803132,41,0.8829547166824341
1758081643.7643206,42,0.9633811116218567
1758081649.9381096,43,1.1081608533859253
1758081656.1274157,44,1.1919783353805542
1758081662.3494482,45,1.3154133558273315
1758081668.5925417,46,1.340999722480774
1758081674.8285284,47,1.5254138708114624
1758081681.0641031,48,1.682557225227356
1758081687.2716694,49,1.7523751258850098
1758081693.5194948,50,2.0138330459594727
1758081699.8178215,51,2.227748155593872
1758081706.1214604,52,2.5757479667663574
1758081712.4356375,53,2.657452344894409
1758081718.752462,54,2.8737215995788574
1758081725.1319456,55,2.770035982131958
1758081731.5258837,56,2.9288153648376465
1758081737.91328,57,3.1553568840026855
1758081744.3352566,58,3.50642991065979
1758081750.779797,59,4.025322437286377
1758081757.2077096,60,4.162750720977783
